"Sending Domain","Date","DateGroup","Sent","Delivered","Opens","Clicks","Unsubscribes","Disabled","Revenue","Complaints","Blocks","Hard Bounces","Soft Bounces","Raw Opens","Raw Clicks","Raw Unsubscribes","Raw Complaints","Raw Disabled"
"betterjobsonline.com","2025-11-19","11/19","1026903","1026834","534552","8688","9615","69","1380.6797986955","4649","0","11","58","732520","13293","10122","4649","69"
"yayjobs.net","2026-01-17","01/17","1026714","1026638","436616","6860","6598","75","929.98390332842","4602","1","3","72","576915","11209","7203","4602","75"
"rg.expertjobmatch.com","2026-01-03","01/03","1026369","1026355","458373","7590","6651","7","1472.6419097483","1738","7","1","6","603025","12299","7432","1738","7"
"yayjobs.net","2026-01-20","01/20","1026412","1026339","461971","8142","8149","72","1043.6336041759","5560","1","7","65","632906","12271","8583","5560","72"
"betterjobsonline.com","2025-12-15","12/15","1026415","1026312","461034","8433","8512","103","1374.8112047445","5576","0","18","85","660075","12392","8957","5576","103"
"rg.expertjobmatch.com","2025-11-21","11/21","1026285","1026264","461308","7520","7070","12","1394.9533963259","878","9","3","9","615052","11568","7376","878","12"
"rg.expertjobmatch.com","2025-11-20","11/20","1026136","1026106","469330","8168","7966","24","1536.5197931416","1759","6","9","15","631971","12448","8364","1759","24"
"betterjobsonline.com","2025-12-04","12/04","1025807","1025742","525843","8483","9041","64","1445.4690016108","0","1","10","54","722294","12767","9540","0","64"
"betterjobsonline.com","2025-12-16","12/16","1025652","1025569","499192","8340","8392","83","1341.2671035547","0","0","11","72","690967","12574","8765","0","83"
"rg.expertjobmatch.com","2025-11-17","11/17","1025578","1025550","488152","8735","7443","17","1650.6446012976","886","11","6","11","667518","12798","7753","886","17"
"betterjobsonline.com","2025-12-18","12/18","1025528","1025439","428293","7818","7519","89","1164.9400000693","0","0","9","80","587751","11802","7884","0","89"
"betterjobsonline.com","2025-12-08","12/08","1025382","1025308","539654","8728","9239","74","1468.6337987706","3694","0","10","64","749172","12884","9691","3694","74"
"rg.expertjobmatch.com","2026-01-12","01/12","1025222","1025193","487854","9541","8245","19","1737.7388114762","875","10","5","14","670738","13773","8535","875","19"
"betterjobsonline.com","2025-12-05","12/05","1025222","1025165","511813","7694","8174","57","1264.9920975221","3707","0","15","42","697883","11823","8597","3707","57"
"rg.expertjobmatch.com","2025-11-24","11/24","1025194","1025151","466248","7884","6701","23","1482.6736928751","876","20","1","22","628114","11936","7059","876","23"
"yayjobs.net","2026-01-25","01/25","1025015","1024947","505436","6756","7352","68","857.2926015011","0","0","7","61","661438","10569","7842","0","68"
"rg.expertjobmatch.com","2026-02-04","02/04","1024823","1024799","476000","8344","7994","17","1435.7612131983","876","7","5","12","657215","12530","8410","876","17"
"email1.rg.expertjobmatch.com","2025-12-03","12/03","1024792","1024783","466326","9044","7826","9","1806.546105898","0","0","6","3","637838","13962","8050","0","9"
"betterjobsonline.com","2025-12-07","12/07","1024810","1024733","510893","7395","8021","77","1207.3155012475","3714","0","11","66","686744","11726","8455","3714","77"
"rg.expertjobmatch.com","2025-11-25","11/25","1024582","1024555","462397","7304","6904","14","1447.6861932846","0","13","3","11","620181","11143","7147","0","14"
"betterjobsonline.com","2025-12-12","12/12","1024602","1024506","505161","7405","8547","96","1216.2110023228","4629","0","15","81","690778","11088","9095","4629","96"
"betterjobsonline.com","2025-12-11","12/11","1024578","1024494","520545","8386","9862","84","1367.2030007336","0","0","13","71","717316","12590","10351","0","84"
"yayjobs.net","2026-01-24","01/24","1024544","1024468","438867","6077","7261","75","760.73680048529","4610","1","4","71","577948","9919","7688","4610","75"
"email1.rg.expertjobmatch.com","2026-01-08","01/08","1024375","1024369","478714","9312","7720","6","1711.0857229326","0","0","5","1","652297","13769","7962","0","6"
"yayjobs.net","2026-01-19","01/19","1024225","1024146","460797","8023","7801","78","1042.7988028238","5539","1","7","71","625318","11824","8209","5539","78"
"rg.expertjobmatch.com","2025-12-09","12/09","1024179","1024141","468529","8667","7467","18","1656.2489005523","0","20","7","11","641051","12872","8286","0","18"
"yayjobs.net","2025-12-21","12/21","1024214","1024122","517436","5387","5890","91","772.46020040801","2737","1","6","85","679244","8675","6238","2737","91"
"betterjobsonline.com","2025-12-17","12/17","1024090","1024002","509852","8189","8929","87","1311.6536008231","4647","1","9","78","700780","12483","9375","4647","87"
"rg.expertjobmatch.com","2026-01-22","01/22","1023946","1023916","474023","8521","8143","20","1448.0789117292","1766","10","4","16","646863","12338","8579","1766","20"
"email1.rg.expertjobmatch.com","2025-12-20","12/20","1023642","1023632","442923","6517","5315","10","1037.2746052127","0","0","5","5","580784","10924","5593","0","10"
"betterjobsonline.com","2025-12-20","12/20","1023557","1023459","407467","6583","6119","98","885.00209748372","0","0","15","83","542859","10863","6479","0","98"
"email1.rg.expertjobmatch.com","2026-01-18","01/18","1023446","1023442","467352","7302","6699","4","1252.585012123","0","0","4","0","616830","11194","7037","0","4"
"yayjobs.net","2025-12-08","12/08","1023384","1023346","547081","6976","7755","38","1119.3679996487","4503","0","5","33","748820","10488","8357","4503","38"
"yayjobs.net","2025-12-18","12/18","1023416","1023341","546404","6218","7099","75","909.23840010772","0","0","6","69","730899","9533","7416","0","75"
"betterjobsonline.com","2025-12-23","12/23","1023331","1023232","421148","6862","6840","99","1081.0253000697","4630","0","10","89","570238","10721","7649","4630","99"
"betterjobsonline.com","2025-12-22","12/22","1023274","1023184","434784","7432","7304","90","1106.2406994165","5562","0","9","81","596136","10915","7679","5562","90"
"betterjobsonline.com","2025-12-06","12/06","1023231","1023175","499211","7042","7306","56","1201.992001771","0","0","7","49","666023","11448","7720","0","56"
"yayjobs.net","2025-11-22","11/22","1023211","1023173","544931","5958","6607","38","889.02250143234","4465","0","5","33","711721","9956","7050","4465","38"
"betterjobsonline.com","2025-12-14","12/14","1023203","1023108","510436","7381","7907","95","1173.1434050882","4651","0","16","79","719891","11694","8318","4651","95"
"email1.rg.expertjobmatch.com","2025-12-19","12/19","1023070","1023063","442323","6821","5979","7","1114.2159989579","0","0","6","1","591421","10782","6223","0","7"
"yayjobs.net","2026-01-18","01/18","1023114","1023042","441175","7089","6594","71","934.95660283091","5527","1","6","65","584732","11165","6990","5527","71"
"rg.expertjobmatch.com","2025-12-13","12/13","1023003","1022965","443759","6601","5929","23","1307.0031015361","888","15","6","17","596400","11036","6133","888","23"
"email1.rg.expertjobmatch.com","2025-11-25","11/25","1022944","1022937","465710","7626","6945","7","1472.5074863425","0","0","5","2","626434","11727","7165","0","7"
"betterjobsonline.com","2025-12-10","12/10","1022954","1022882","523166","8588","10358","72","1430.5960007841","4637","0","17","55","725767","12914","10907","4637","72"
"betterjobsonline.com","2025-11-17","11/17","1022925","1022862","549437","9125","9188","63","1527.9605008392","3695","0","4","59","763006","13723","9712","3695","63"
"betterjobsonline.com","2025-11-18","11/18","1022910","1022846","535857","8489","10056","64","1397.2838999522","4638","0","12","52","738983","13015","10585","4638","64"
"yayjobs.net","2026-01-27","01/27","1022764","1022694","512286","7513","8488","70","980.69930576533","3672","0","9","61","693082","11348","9041","3672","70"
"rg.expertjobmatch.com","2026-01-08","01/08","1022594","1022559","475837","9031","7891","23","1629.4239203976","1481","12","5","18","645247","13172","8149","1481","23"
"rg.expertjobmatch.com","2025-11-22","11/22","1022521","1022489","453095","6566","6108","13","1285.378904182","889","19","4","9","589060","10941","6476","889","13"
"email1.rg.expertjobmatch.com","2026-01-24","01/24","1022470","1022464","462525","6721","6943","6","1123.324503886","0","0","6","0","610548","10862","7446","0","6"
"rg.expertjobmatch.com","2026-01-07","01/07","1022231","1022199","479061","8886","8244","17","1594.1676172474","0","15","2","15","653784","13108","8580","0","17"
"rg.expertjobmatch.com","2025-12-12","12/12","1022109","1022080","448975","7383","6751","18","1402.1516078869","877","11","4","14","603544","11024","7080","877","18"
"betterjobsonline.com","2025-12-13","12/13","1022153","1022062","494683","6689","7328","91","1080.1517003654","4636","0","10","81","679395","10924","8284","4636","91"
"yayjobs.net","2026-01-26","01/26","1022071","1022000","464576","7688","7976","71","984.53820178751","3679","0","3","68","634981","11358","8425","3679","71"
"rg.expertjobmatch.com","2025-12-24","12/24","1021950","1021925","432293","5592","4490","17","1062.3561974661","887","8","3","14","559854","9125","5245","887","17"
"betterjobsonline.com","2025-12-21","12/21","1021956","1021861","414707","6708","6899","95","1017.0180014083","5561","0","14","81","553798","10845","7271","5561","95"
"rg.expertjobmatch.com","2026-01-06","01/06","1021858","1021827","483621","9376","8551","15","1757.489408657","1739","16","2","13","661456","13724","9503","1739","15"
"email1.rg.expertjobmatch.com","2026-01-31","01/31","1021804","1021793","457874","6626","6707","11","1073.658608146","0","0","7","4","606101","10720","6902","0","11"
"betterjobsonline.com","2025-11-16","11/16","1021785","1021715","514346","7636","7537","70","1216.958904759","0","0","15","55","688055","12362","8084","0","70"
"email1.rg.expertjobmatch.com","2025-12-21","12/21","1021671","1021664","440385","6594","5850","7","1220.4756937986","0","0","6","1","578716","10764","6031","0","7"
"betterjobsonline.com","2025-12-24","12/24","1021642","1021560","403489","5735","5887","82","878.65369773004","4621","0","10","72","532028","9283","6211","4621","82"
"yayjobs.net","2025-12-19","12/19","1021625","1021554","530945","5428","6554","71","728.59099692432","3660","0","3","68","702069","8440","6885","3660","71"
"yayjobs.net","2025-11-24","11/24","1021482","1021447","525764","6763","7412","35","935.62860085722","5408","0","4","31","714841","10233","7794","5408","35"
"yayjobs.net","2026-01-28","01/28","1021435","1021371","565763","8031","8855","64","1027.3044054857","3672","0","5","59","762411","12563","9381","3672","64"
"email1.rg.expertjobmatch.com","2025-12-26","12/26","1021325","1021307","449912","6772","5942","18","1240.8550074752","0","0","11","7","599489","10477","6125","0","18"
"rg.expertjobmatch.com","2025-12-01","12/01","1021295","1021257","462573","8447","7407","25","1604.0769988205","885","13","7","18","638729","12194","9684","885","25"
"yayjobs.net","2026-01-29","01/29","1021333","1021254","561018","7905","8257","78","999.25300319633","0","1","10","68","758824","12150","8681","0","78"
"email1.rg.expertjobmatch.com","2026-02-01","02/01","1021179","1021169","467960","7138","6498","10","1296.8527079527","0","0","7","3","627182","11338","7030","0","10"
"email1.rg.expertjobmatch.com","2026-01-30","01/30","1021142","1021133","465283","7386","6901","9","1234.6235085446","0","0","5","4","634207","11193","7120","0","9"
"yayjobs.net","2025-12-23","12/23","1021198","1021115","523992","5570","6451","82","866.18600118021","3635","1","6","76","695604","8626","6779","3635","82"
"rg.expertjobmatch.com","2025-11-14","11/14","1020974","1020828","463854","7252","6673","15","1479.62509978","0","131","5","10","619076","11421","7214","0","15"
"yayjobs.net","2025-12-13","12/13","1020884","1020807","525277","5649","6144","77","866.64980192157","4574","0","3","74","709290","9336","6538","4574","77"
"email1.rg.expertjobmatch.com","2025-12-13","12/13","1020799","1020794","444700","6512","5829","5","1293.3137996923","0","0","4","1","595986","10758","6026","0","5"
"rg.expertjobmatch.com","2026-02-10","02/10","1020772","1020753","467634","7844","7338","11","1275.5941190915","0","8","4","7","642199","11580","7640","0","11"
"yayjobs.net","2026-01-30","01/30","1020772","1020716","550424","7104","7211","55","879.95439586788","2745","1","4","51","740355","10783","7566","2745","55"
"betterjobsonline.com","2025-11-15","11/15","1020612","1020557","505868","7232","7314","54","1158.9126057774","3692","1","5","49","671992","12208","7841","3692","54"
"email1.rg.expertjobmatch.com","2026-01-25","01/25","1020531","1020524","466809","7151","7163","7","1212.5828130487","0","0","5","2","622633","11023","7411","0","7"
"email1.rg.expertjobmatch.com","2025-12-18","12/18","1020519","1020506","457690","7820","6539","13","1433.051710587","0","0","12","1","621036","11701","6769","0","13"
"email1.rg.expertjobmatch.com","2025-12-22","12/22","1020440","1020437","464125","7509","6194","3","1350.2852025423","0","0","2","1","627490","11013","6397","0","3"
"betterjobsonline.com","2025-12-09","12/09","1020133","1020082","528445","8482","9402","51","1417.3723980533","0","0","15","36","732807","12687","9917","0","51"
"rg.expertjobmatch.com","2026-01-01","01/01","1020031","1019996","453743","7155","5812","19","1342.9379054615","868","16","3","16","593249","11537","6022","868","19"
